sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.1,0,13225683.29,2.63E+07,197350.3576,0,2020,7.419955748,5.295237918,6.357596833
L3.1.1.1,1695.658083,13080000.61,2.56E+07,607190.578,3.934005654,2016.065994,7.408239965,5.783325024,6.595782495
L3.1.1.1,3391.316166,13293222.22,2.57E+07,866061.3598,7.914844708,2012.085155,7.409933123,5.937548663,6.673740893
L3.1.1.1,5086.974249,13434922.97,2.59E+07,959155.6061,11.84885036,2008.15115,7.413299764,5.98188907,6.697594417
L3.1.1.1,6782.632333,13615011.01,2.63E+07,968483.3083,15.82968942,2004.170311,7.419955748,5.98609214,6.703023944
L3.1.1.1,8478.290416,13862702.32,2.68E+07,946960.4109,19.76369507,2000.236305,7.428134794,5.976331823,6.702233309
L3.1.1.1,10173.9485,14254380.47,2.76E+07,934499.2961,23.74453413,1996.255466,7.440909082,5.970578979,6.70574403
L3.1.1.1,11869.60658,14393717.16,2.78E+07,962494.0852,27.67853978,1992.32146,7.444044796,5.983398069,6.713721433
L3.1.1.1,13565.26467,14748982.25,2.85E+07,998894.8536,31.65937883,1988.340621,7.45484486,5.999519776,6.727182318
L3.1.1.1,15260.92275,15031233.15,2.90E+07,1065085.246,35.59338449,1984.406616,7.462397998,6.027384369,6.744891183
L3.1.1.1,16956.58083,15392086.55,2.97E+07,1130483.838,39.57422354,1980.425776,7.472756449,6.053264358,6.763010404
L3.1.1.1,18652.23891,15851102.6,3.05E+07,1198217.033,43.5082292,1976.491771,7.484299839,6.078535489,6.781417664
L3.1.1.1,20347.897,16137405.64,3.10E+07,1267679.576,47.48906825,1972.510932,7.491361694,6.103009493,6.797185594
L3.1.1.1,22043.55508,16357953.64,3.14E+07,1323341.881,51.4230739,1968.576926,7.496929648,6.121672057,6.809300853
L3.1.1.1,23739.21316,16736945.94,3.21E+07,1382484.749,55.35707956,1964.64292,7.506505032,6.140660349,6.823582691
L3.1.1.1,25434.87125,16996058.17,3.26E+07,1433178.391,59.33791861,1960.662081,7.5132176,6.156300251,6.834758926
L3.1.1.1,27130.52933,17226104.31,3.30E+07,1463350.148,63.27192427,1956.728076,7.51851394,6.165348256,6.841931098
